Id,Category
1,2
2,9
3,0
4,2
5,1
6,9
7,0
8,9
9,5
10,9
11,9
12,0
13,3
14,2
15,4
16,3
17,9
18,10
19,0
20,4
21,9
22,10
23,10
24,5
25,9
26,2
27,10
28,2
29,3
30,4
31,9
32,5
33,9
34,5
35,5
36,3
37,10
38,9
39,10
40,0
41,5
42,3
43,5
44,5
45,0
46,0
47,6
48,4
49,5
50,5
51,2
52,0
53,3
54,10
55,0
56,0
57,2
58,5
59,3
60,3
61,5
62,0
63,5
64,9
65,8
66,2
67,7
68,2
69,5
70,9
71,5
72,3
73,2
74,6
75,0
76,0
77,9
78,0
79,10
80,8
81,9
82,9
83,6
84,2
85,2
86,5
87,0
88,0
89,4
90,5
91,8
92,9
93,9
94,3
95,3
96,10
97,8
98,1
99,4
100,5
101,3
102,5
103,4
104,9
105,8
106,0
107,2
108,3
109,5
110,4
111,2
112,6
113,0
114,0
115,6
116,7
117,2
118,9
119,9
120,3
121,7
122,5
123,5
124,4
125,2
126,5
127,5
128,2
129,10
130,9
131,5
132,2
133,0
134,9
135,9
136,5
137,9
138,3
139,9
140,5
141,4
142,0
143,5
144,1
145,8
146,5
147,4
148,0
149,4
150,5
151,5
152,8
153,5
154,7
155,1
156,5
157,4
158,8
159,9
160,9
161,6
162,6
163,5
164,9
165,9
166,5
167,2
168,5
169,5
170,9
171,9
172,2
173,2
174,0
175,6
176,9
177,2
178,5
179,2
180,2
181,1
182,5
183,2
184,2
185,0
186,8
187,6
188,3
189,8
190,3
191,2
192,9
193,2
194,4
195,0
196,9
197,2
198,10
199,9
200,9
201,6
202,2
203,2
204,4
205,10
206,0
207,4
208,8
209,7
210,5
211,5
212,5
213,0
214,9
215,8
216,9
217,9
218,3
219,9
220,2
221,4
222,9
223,9
224,5
225,4
226,1
227,2
228,7
229,2
230,4
231,5
232,4
233,2
234,4
235,4
236,0
237,6
238,1
239,0
240,5
241,5
242,2
243,10
244,4
245,6
246,10
247,0
248,10
249,4
250,3
251,8
252,2
253,4
254,9
255,4
256,8
257,2
258,8
259,3
260,5
261,2
262,7
263,4
264,10
265,10
266,3
267,0
268,6
269,0
270,9
271,2
272,2
273,8
274,9
275,9
276,5
277,10
278,10
279,10
280,5
281,4
282,6
283,0
284,5
285,8
286,2
287,0
288,10
289,4
290,2
291,8
292,1
293,0
294,2
295,7
296,5
297,4
298,2
299,9
300,8
301,9
302,2
303,9
304,10
305,5
306,9
307,5
308,2
309,2
310,5
311,8
312,5
313,2
314,0
315,10
316,10
317,8
318,5
319,2
320,3
321,9
322,9
323,9
324,0
325,3
326,9
327,0
328,7
329,5
330,10
331,5
332,10
333,5
334,10
335,4
336,8
337,6
338,9
339,0
340,3
341,2
342,9
343,10
344,10
345,8
346,10
347,0
348,0
349,2
350,8
351,5
352,2
353,10
354,9
355,6
356,0
357,3
358,0
359,9
360,2
361,4
362,5
363,7
364,4
365,1
366,1
367,1
368,10
369,2
370,2
371,5
372,9
373,4
374,8
375,9
376,2
377,2
378,2
379,8
380,8
381,0
382,9
383,8
384,4
385,0
386,9
387,2
388,4
389,6
390,8
391,5
392,10
393,0
394,5
395,1
396,2
397,5
398,9
399,7
400,2
401,9
402,2
403,8
404,5
405,5
406,1
407,2
408,2
409,8
410,3
411,10
412,2
413,5
414,9
415,5
416,9
417,0
418,4
419,3
420,2
421,9
422,2
423,6
424,5
425,8
426,7
427,2
428,4
429,5
430,3
431,8
432,9
433,3
434,3
435,4
436,3
437,10
438,3
439,2
440,0
441,9
442,10
443,0
444,2
445,6
446,9
447,5
448,4
449,3
450,9
451,2
452,3
453,9
454,3
455,1
456,2
457,8
458,9
459,6
460,7
461,0
462,4
463,9
464,3
465,9
466,2
467,2
468,5
469,9
470,9
471,10
472,2
473,9
474,0
475,4
476,8
477,5
478,5
479,0
480,10
481,5
482,10
483,2
484,9
485,5
486,7
487,1
488,2
489,9
490,9
491,0
492,9
493,2
494,6
495,2
496,0
497,0
498,9
499,1
500,3
501,3
502,6
503,5
504,2
505,7
506,2
507,3
508,3
509,5
510,8
511,5
512,2
513,10
514,4
515,8
516,9
517,0
518,3
519,2
520,2
521,9
522,5
523,8
524,9
525,9
526,3
527,4
528,8
529,2
530,10
531,2
532,9
533,6
534,1
535,5
536,2
537,9
538,9
539,2
540,1
541,9
542,9
543,0
544,0
545,3
546,10
547,10
548,2
549,4
550,3
551,0
552,2
553,3
554,0
555,4
556,0
557,4
558,2
559,3
560,3
561,2
562,3
563,10
564,2
565,9
566,9
567,9
568,4
569,4
570,5
571,8
572,0
573,2
574,2
575,7
576,4
577,7
578,8
579,10
580,2
581,2
582,5
583,9
584,0
585,3
586,9
587,0
588,9
589,5
590,9
591,0
592,9
593,2
594,6
595,2
596,7
597,0
598,5
599,2
600,9
601,2
602,3
603,8
604,5
605,6
606,2
607,2
608,9
609,8
610,2
611,0
612,9
613,8
614,2
615,0
616,9
617,9
618,2
619,9
620,3
621,7
622,10
623,2
624,9
625,9
626,9
627,9
628,8
629,0
630,0
631,4
632,2
633,9
634,10
635,4
636,1
637,0
638,0
639,10
640,9
641,8
642,5
643,4
644,5
645,2
646,5
647,1
648,3
649,9
650,5
651,0
652,2
653,6
654,0
655,2
656,0
657,10
658,5
659,2
660,8
661,0
662,2
663,7
664,9
665,9
666,5
667,7
668,10
669,10
670,0
671,4
672,7
673,6
674,0
675,2
676,9
677,5
678,6
679,4
680,4
681,2
682,1
683,5
684,5
685,8
686,8
687,0
688,7
689,5
690,5
691,4
692,10
693,2
694,6
695,0
696,0
697,2
698,7
699,7
700,4
701,2
702,0
703,6
704,10
705,2
706,2
707,3
708,9
709,5
710,9
711,4
712,5
713,10
714,3
715,8
716,3
717,6
718,6
719,3
720,4
721,5
722,10
723,8
724,3
725,2
726,8
727,5
728,9
729,3
730,2
731,2
732,2
733,9
734,0
735,0
736,8
737,9
738,3
739,9
740,4
741,5
742,5
743,2
744,2
745,3
746,2
747,8
748,10
749,2
750,9
751,10
752,0
753,2
754,2
755,6
756,5
757,5
758,9
759,7
760,9
761,10
762,5
763,3
764,0
765,5
766,6
767,2
768,5
769,3
770,4
771,9
772,10
773,10
774,4
775,0
776,5
777,2
778,3
779,5
780,0
781,10
782,5
783,8
784,2
785,8
786,9
787,10
788,3
789,2
790,3
791,2
792,5
793,2
794,2
795,9
796,10
797,4
798,4
799,8
800,4
801,4
802,10
803,5
804,1
805,0
806,5
807,2
808,10
809,2
810,10
811,3
812,0
813,8
814,0
815,9
816,9
817,0
818,5
819,9
820,9
821,3
822,6
823,7
824,10
825,8
826,5
827,9
828,9
829,2
830,0
831,0
832,3
833,5
834,4
835,5
836,4
837,2
838,8
839,10
840,10
841,9
842,9
843,8
844,4
845,5
846,5
847,6
848,10
849,9
850,6
851,0
852,0
853,9
854,2
855,3
856,2
857,2
858,0
859,0
860,8
861,7
862,2
863,4
864,4
865,3
866,3
867,2
868,5
869,0
870,7
871,5
872,2
873,8
874,6
875,5
876,9
877,1
878,2
879,5
880,2
881,2
882,9
883,9
884,4
885,9
886,5
887,9
888,8
889,8
890,4
891,10
892,0
893,8
894,5
895,0
896,0
897,5
898,5
899,9
900,10
901,5
902,3
903,5
904,0
905,8
906,2
907,9
908,2
909,0
910,10
911,6
912,5
913,1
914,5
915,2
916,0
917,3
918,8
919,10
920,4
921,10
922,5
923,5
924,5
